athlete,configuration_exists,S01,S02,S03,S04,S05,configuration_status
B0382,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0383,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0384,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0385,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0386,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0387,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0388,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0389,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0391,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0392,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0393,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0394,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0395,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0396,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0398,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0399,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0400,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0401,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0402,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0403,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0404,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0405,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
