athlete_id,technique,RFIN,RTOE,LTOE,RANK,LANK,RHEE,LHEE
B0379,S04,True,True,True,True,True,True,True
B0379,S05,True,True,True,True,True,True,True
B0380,S01,True,True,True,True,True,True,True
B0380,S02,True,True,True,True,True,True,True
B0380,S03,True,True,True,True,True,True,True
B0380,S04,True,True,True,True,True,True,True
B0380,S05,True,True,True,True,True,True,True
B0380,S06,True,True,True,True,True,True,True
B0381,S01,True,True,True,True,True,True,True
B0381,S02,True,True,True,True,True,True,True
B0381,S03,True,True,True,True,True,True,True
B0381,S04,True,True,True,True,True,True,True
B0381,S05,True,True,True,True,True,True,True
B0382,S01,True,True,True,True,True,True,True
B0382,S02,True,True,True,True,True,True,True
B0382,S03,True,True,True,True,True,True,True
B0382,S04,True,True,True,True,True,True,True
B0382,S05,True,True,True,True,True,True,True
B0383,S01,True,True,True,True,True,True,True
B0383,S02,True,True,True,True,True,True,True
B0383,S03,True,True,True,True,True,True,True
B0383,S04,True,True,True,True,True,True,True
B0383,S05,True,True,True,True,True,True,True
B0384,S01,True,True,True,True,True,True,True
B0384,S02,True,True,True,True,True,True,True
B0384,S03,True,True,True,True,True,True,True
B0384,S04,True,True,True,True,True,True,True
B0384,S05,True,True,True,True,True,True,True
B0385,S01,True,True,True,True,True,True,True
B0385,S02,True,True,True,True,True,True,True
B0385,S03,True,True,True,True,True,True,True
B0385,S04,True,True,True,True,True,True,True
B0385,S05,True,True,True,True,True,True,True
B0386,S01,True,True,True,True,True,True,True
B0386,S02,True,True,True,True,True,True,True
B0386,S03,True,True,True,True,True,True,True
B0386,S04,True,True,True,True,True,True,True
B0386,S05,True,True,True,True,True,True,True
B0387,S01,True,True,True,True,True,True,True
B0387,S02,True,True,True,True,True,True,True
B0387,S03,True,True,True,True,True,True,True
B0387,S04,True,True,True,True,True,True,True
B0387,S05,True,True,True,True,True,True,True
B0388,S01,True,True,True,True,True,True,True
B0388,S02,True,True,True,True,True,True,True
B0388,S03,True,True,True,True,True,True,True
B0388,S04,True,True,True,True,True,True,True
B0388,S05,True,True,True,True,True,True,True
B0389,S01,True,True,True,True,True,True,True
B0389,S02,True,True,True,True,True,True,True
B0389,S03,True,True,True,True,True,True,True
B0389,S04,True,True,True,True,True,True,True
B0389,S05,True,True,True,True,True,True,True
B0391,S01,True,True,True,True,True,True,True
B0391,S02,True,True,True,True,True,True,True
B0391,S03,True,True,True,True,True,True,True
B0391,S04,True,True,True,True,True,True,True
B0391,S05,True,True,True,True,True,True,True
B0392,S01,True,True,True,True,True,True,True
B0392,S02,True,True,True,True,True,True,True
B0392,S03,True,True,True,True,True,True,True
B0392,S04,True,True,True,True,True,True,True
B0392,S05,True,True,True,True,True,True,True
B0393,S01,True,True,True,True,True,True,True
B0393,S02,True,True,True,True,True,True,True
B0393,S03,True,True,True,True,True,True,True
B0393,S04,True,True,True,True,True,True,True
B0393,S05,True,True,True,True,True,True,True
B0394,S01,True,True,True,True,True,True,True
B0394,S02,True,True,True,True,True,True,True
B0394,S03,True,True,True,True,True,True,True
B0394,S04,True,True,True,True,True,True,True
B0394,S05,True,True,True,True,True,True,True
B0395,S01,True,True,True,True,True,True,True
B0395,S02,True,True,True,True,True,True,True
B0395,S03,True,True,True,True,True,True,True
B0395,S04,True,True,True,True,True,True,True
B0395,S05,True,True,True,True,True,True,True
B0396,S01,True,True,True,True,True,True,True
B0396,S02,True,True,True,True,True,True,True
B0396,S03,True,True,True,True,True,True,True
B0396,S04,True,True,True,True,True,True,True
B0396,S05,True,True,True,True,True,True,True
B0398,S01,True,True,True,True,True,True,True
B0398,S02,True,True,True,True,True,True,True
B0398,S03,True,True,True,True,True,True,True
B0398,S04,True,True,True,True,True,True,True
B0398,S05,True,True,True,True,True,True,True
B0399,S01,True,True,True,True,True,True,True
B0399,S02,True,True,True,True,True,True,True
B0399,S03,True,True,True,True,True,True,True
B0399,S04,True,True,True,True,True,True,True
B0399,S05,True,True,True,True,True,True,True
B0400,S01,True,True,True,True,True,True,True
B0400,S02,True,True,True,True,True,True,True
B0400,S03,True,True,True,True,True,True,True
B0400,S04,True,True,True,True,True,True,True
B0400,S05,True,True,True,True,True,True,True
B0401,S01,True,True,True,True,True,True,True
B0401,S02,True,True,True,True,True,True,True
B0401,S03,True,True,True,True,True,True,True
B0401,S04,True,True,True,True,True,True,True
B0401,S05,True,True,True,True,True,True,True
B0402,S01,True,True,True,True,True,True,True
B0402,S02,True,True,True,True,True,True,True
B0402,S03,True,True,True,True,True,True,True
B0402,S04,True,True,True,True,True,True,True
B0402,S05,True,True,True,True,True,True,True
B0403,S01,True,True,True,True,True,True,True
B0403,S02,True,True,True,True,True,True,True
B0403,S03,True,True,True,True,True,True,True
B0403,S04,True,True,True,True,True,True,True
B0403,S05,True,True,True,True,True,True,True
B0404,S01,True,True,True,True,True,True,True
B0404,S02,True,True,True,True,True,True,True
B0404,S03,True,True,True,True,True,True,True
B0404,S04,True,True,True,True,True,True,True
B0404,S05,True,True,True,True,True,True,True
B0405,S01,True,True,True,True,True,True,True
B0405,S02,True,True,True,True,True,True,True
B0405,S03,True,True,True,True,True,True,True
B0405,S04,True,True,True,True,True,True,True
B0405,S05,True,True,True,True,True,True,True
