source_file,athlete_id,technique,condition,trial,event_id,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,duration,signal_used,peak_ratio,status,rejection_reason
2017-01-31-B0367-S05-E01-T01.c3d,B0367,S05,E01,T01,1,626,636,655,3.13,3.18,3.275,0.145,RTOE,0.21,rejected,duration_too_short
2017-01-31-B0367-S05-E01-T01.c3d,B0367,S05,E01,T01,2,973,1028,1121,4.865,5.14,5.605,0.74,RTOE,1.0,accepted,
2017-01-31-B0367-S05-E01-T01.c3d,B0367,S05,E01,T01,3,1188,1200,1223,5.94,6.0,6.115,0.175,RTOE,0.22,rejected,activity_too_low
2017-01-31-B0367-S05-E01-T01.c3d,B0367,S05,E01,T01,4,1519,1581,1676,7.595,7.905,8.38,0.785,RTOE,0.95,accepted,
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,0,283,335,480,1.415,1.675,2.4,0.985,RTOE,0.94,accepted,
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,1,387,429,480,1.935,2.145,2.4,0.465,RTOE,0.48,rejected,secondary_peak
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,2,580,605,641,2.9,3.025,3.205,0.305,RTOE,0.4,review,low_activity_uncertain
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,3,774,776,779,3.87,3.88,3.895,0.025,RTOE,0.16,rejected,duration_too_short
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,4,879,933,1106,4.395,4.665,5.53,1.135,RTOE,0.92,accepted,
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,5,984,1045,1209,4.92,5.225,6.045,1.125,RTOE,0.52,rejected,secondary_peak
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,6,1164,1173,1209,5.82,5.865,6.045,0.225,RTOE,0.3,rejected,secondary_peak
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,7,1476,1545,1752,7.38,7.725,8.76,1.38,RTOE,1.0,accepted,
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,8,1583,1636,1752,7.915,8.18,8.76,0.845,RTOE,0.49,rejected,secondary_peak
